day	hour	value
1	1	7
1	2	6
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	2
1	12	2
1	13	5
1	14	6
1	15	0
1	16	4
1	17	0
1	18	2
1	19	10
1	20	7
1	21	0
1	22	19
1	23	9
1	24	4
2	1	16
2	2	20
2	3	0
2	4	0
2	5	0
2	6	2
2	7	0
2	8	9
2	9	25
2	10	49
2	11	57
2	12	61
2	13	37
2	14	66
2	15	70
2	16	55
2	17	51
2	18	55
2	19	17
2	20	20
2	21	9
2	22	4
2	23	0
2	24	12
3	1	6
3	2	2
3	3	0
3	4	0
3	5	0
3	6	2
3	7	4
3	8	11
3	9	28
3	10	49
3	11	51
3	12	47
3	13	38
3	14	65
3	15	60
3	16	50
3	17	65
3	18	50
3	19	22
3	20	11
3	21	12
3	22	9
3	23	0
3	24	13
4	1	5
4	2	8
4	3	8
4	4	0
4	5	0
4	6	2
4	7	5
4	8	12
4	9	34
4	10	43
4	11	54
4	12	44
4	13	40
4	14	48
4	15	54
4	16	59
4	17	60
4	18	51
4	19	21
4	20	16
4	21	9
4	22	5
4	23	4
4	24	7
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	2
5	7	4
5	8	13
5	9	26
5	10	58
5	11	61
5	12	59
5	13	53
5	14	54
5	15	64
5	16	55
5	17	52
5	18	53
5	19	18
5	20	3
5	21	9
5	22	12
5	23	2
5	24	8
6	1	2
6	2	0
6	3	8
6	4	2
6	5	0
6	6	2
6	7	4
6	8	14
6	9	31
6	10	48
6	11	46
6	12	50
6	13	66
6	14	54
6	15	56
6	16	67
6	17	54
6	18	23
6	19	14
6	20	6
6	21	8
6	22	7
6	23	0
6	24	8
7	1	2
7	2	0
7	3	2
7	4	0
7	5	0
7	6	0
7	7	4
7	8	8
7	9	8
7	10	6
7	11	14
7	12	12
7	13	9
7	14	14
7	15	0
7	16	4
7	17	7
7	18	6
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
